c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
38,Customer#000000038,RVmMVNRVUSaS9fbsYQBT,12,22-306-880-7212,6345.11,HOUSEHOLD,ke slyly; deposits thrash doggedly. regular platelets use fluffily. thinly regular pinto beans eat carefully a
39,Customer#000000039,"EDP9K1bwtXYNLGCA2mrlOM1U,",2,12-387-467-6509,6264.31,AUTOMOBILE,eposits play across the furiousl
40,Customer#000000040,"LcDk4rtJ85,CLw",3,13-652-915-8939,1335.30,BUILDING,y. brave accounts wake slyly ironic epitaphs; express packages h
41,Customer#000000041,jeREsFtCuMqEwdvTFqTkY2NzGRYDG1m,10,20-917-711-4011,270.95,HOUSEHOLD,uctions wake carefully pending deposits: pinto beans along the carefully final deposits sleep blithely a
42,Customer#000000042,tI8 wutpGM,5,15-416-330-4175,8727.01,BUILDING,lphins. blithely bold requests about the special patterns detect quickly regular foxes. furiously express in
43,Customer#000000043,Dx8PHkGSFJWLg3XtkzCX28iHRrQXbCRlN,19,29-316-665-2897,9904.28,MACHINERY,ronic pinto beans. packages sleep. furiously ruthless packages print blithely fluffily even platelets.
44,Customer#000000044,"dI0Nc9bvnxXHCWu10bSVn,NEJ2kwdyqvI",16,26-190-260-5375,7315.94,AUTOMOBILE,"fily regular asymptotes. ironic, pend"
45,Customer#000000045,XwXcOClKCcFek0oQDl0WFNo,9,19-715-298-9917,9983.38,AUTOMOBILE,l excuses are busy accounts. blithely
46,Customer#000000046,"NQ7345EZ,fS",6,16-357-681-2007,5744.59,AUTOMOBILE,"equests integrate fluffily after the carefully special accounts. fluffily regular deposits eat slyly ironic, "
47,Customer#000000047,"Q,6KCP8Am4WrKN5QJd7",2,12-427-271-9466,274.58,BUILDING,rding to the final deposits. furiously ironic packages cajole slyly a
48,Customer#000000048,076rIcJpxBmwMEdq,0,10-508-348-5882,3792.50,BUILDING, carefully. furiously bold accounts sleep slyly above the even accounts. ironic acc
49,Customer#000000049,PdKqM4TlA OLTjaeRmvH7QWDu80USfslgqutF,10,20-908-631-4424,4573.94,FURNITURE,quests haggle! furiously unusual theodolites cajole carefully. t
50,Customer#000000050,S8sn2GGsuputhZaN7irC,6,16-658-112-3221,4266.13,MACHINERY, ideas cajole. carefully even warthogs affix ironically quickly re
51,Customer#000000051,y90vmRI7wCX,12,22-344-885-4251,855.87,FURNITURE,"across the express, bold requests. closely final accounts sleep blithely "
52,Customer#000000052,"UracAlAA8tSHL5V,poTZIOjh8o,",11,21-186-284-5998,5630.28,HOUSEHOLD,ts boost. carefully express waters across the blithely regular foxes inte
53,Customer#000000053,kDQujt7Ll72zSexpBht7Q1WToFWvlcdKIP,15,25-168-852-5363,4113.64,HOUSEHOLD,ts. carefully regular ideas across the blithely final packages cajole car
54,Customer#000000054,1GWwLsVwmol4lt0KCz7m1,4,14-776-370-4745,868.90,AUTOMOBILE,are slyly. instructions sublate slyly. fluffily even packages among the slyly regular accounts hang along
55,Customer#000000055,ti9p9XgdmFsjsQI6XQrISDUMFAusnmKS SBoCE,10,20-180-440-8525,4572.11,MACHINERY,dolites. bold instructions wake fluffily regular ideas. regular theodolites are furiously carefully unusual ac
56,Customer#000000056,qh212iaGWtoVp,10,20-895-685-6920,6530.86,FURNITURE, quickly final dependencies. even dependencies are slyly regularly silent theodolites. slow a
57,Customer#000000057,ST32P xcb94b46,21,31-835-306-1650,4151.93,AUTOMOBILE,thely pending deposits. packages cajole blithely slyly express requests. fl
58,Customer#000000058,LRQBToGZ8wSLO3m5HBe2Cp1i97CJIr8,13,23-244-493-2508,6478.46,HOUSEHOLD,ronic accounts dazzle quickly along the blithely special packages. blithely final pinto beans 
59,Customer#000000059,tfcob0wJRYdypIJLzBckGW,1,11-355-584-3112,3458.60,MACHINERY,s asymptotes wake. slyly ironic deposits haggle furiously; slyly regula
60,Customer#000000060,"mtCNJIveoJ 1E6sUhs,j",12,22-480-575-5866,2741.87,MACHINERY,ts. accounts cajole carefully. carefully final requests across the even accounts affix slyly 
61,Customer#000000061,SGDNwNWmqhvJKXwNlrpL4 TqAdz7XRDrKyAIQ2m,17,27-626-559-8599,1536.24,FURNITURE, slyly. quickly unusual deposits haggle furiousl
62,Customer#000000062,yBhgYoDvZX1,7,17-361-978-7059,595.61,MACHINERY,e carefully final requests. fluffily regular deposits haggle among the ironic warhors
63,Customer#000000063,j398B6441 Rgii,21,31-952-552-9584,9331.13,AUTOMOBILE,ar pinto beans nag furiously furiously regular ideas. d
64,Customer#000000064,"fPoMk3Y,GQhgXCQGhn0c8",3,13-558-731-7204,-646.64,BUILDING,hely unusual deposits sleep furiously express requests. c
65,Customer#000000065,"ak7rtta,tWG,jR,cTSXflW6RVQ3alna3P4Q,zF03",23,33-733-623-5267,8795.16,AUTOMOBILE,"ironic courts sleep slyly above the ironic, bold accounts. blithely"
66,Customer#000000066,4PzmA4jZm7Qh22yrZq,22,32-213-373-5094,242.77,HOUSEHOLD,"nic instructions are furiously unusual, unusual pa"
67,Customer#000000067,"ALk,OdKy V5SruigGvBRMBo8S",9,19-403-114-4356,8166.59,MACHINERY, special sentiments. pending depen
68,Customer#000000068,DSqIPPo9G3xalJSKl0TC,12,22-918-832-2411,6853.37,HOUSEHOLD,"e slyly express theodolites kindle fluffily ironic, pend"
69,Customer#000000069,"gyuZTEcR4vKyNPMSa15ueKbRS6Tu4RUxw8j,B mv",9,19-225-978-5670,1709.28,HOUSEHOLD, sauternes against the silent foxes are slyly quickly special deposits. slyly final foxes integrate furiously. care
70,Customer#000000070,FlCviyJDjHCYkHoJ22QwH4rG6wcHiQ8oa,22,32-828-107-2832,4867.52,FURNITURE,le through the carefully unusual accounts. excuses use slyly. furiously pending accounts a
71,Customer#000000071,8FkQFLN34pFe50URKft43ntisSegsO3SKF0wUyZp,7,17-710-812-5403,-611.19,HOUSEHOLD,e slyly about the slyly bold theodolites. furiously regular deposits a
72,Customer#000000072,CxyHFFzGum1sz0jBMiqR5AxTNKKjVp6ovnvkjOL,2,12-759-144-9689,-362.86,FURNITURE,"dolites print blithely about the ironic requests. regular, expre"
73,Customer#000000073,TiJiuAMxW6LUyyVFCKW,0,10-473-439-3214,4288.50,BUILDING, carefully pending packages to the pearls affix quick
74,Customer#000000074,jGhjorX17JmTAfT6gO 6sD9fF1GtFLs,4,14-199-862-7209,2764.43,MACHINERY,ithely special excuses. regular deposits cajole furiously finally
75,Customer#000000075,oJrUH20Ovu5fgaLagGIkAswUBF,18,28-247-803-9025,6684.10,AUTOMOBILE,"ronic foxes after the brave hockey players haggle after the slyly ironic courts. even, regular"
76,Customer#000000076,FXzPoxHecjuQcCLk0Mr6HkbyAPW,0,10-349-718-3044,5745.33,FURNITURE,"es snooze about the accounts. furiously unusual excuses sleep furiously around the blithely careful decoys. express,"
77,Customer#000000077,XyqmVhNelkoWPtjz3lRYxu,17,27-269-357-4674,1738.87,BUILDING, slyly. furiously final accounts sleep slyly among the ironic packages. quickly pending deposits inte
78,Customer#000000078,"kpcyQ11dABLX6YO9f,GPALyGbws3",9,19-960-700-9191,7136.97,FURNITURE,uriously above the slyly final de
79,Customer#000000079,EVJjYMyG59w4SINzn0pEfY,15,25-147-850-4166,5121.28,MACHINERY,iously even pinto beans hinder final deposits. carefully final accounts along the final theodolites integrate caref
80,Customer#000000080,h0wy3CSA2ps,0,10-267-172-7101,7383.53,FURNITURE,"ld, bold excuses sleep finally furiously pending pinto beans. furiously expres"
81,Customer#000000081,9jUFbrThIIeoUNd8 9,20,30-165-277-3269,2023.71,BUILDING,s against the ironic packages haggle carefully above the slyly express pinto beans
82,Customer#000000082,tJkXm2PQBWPRRYkIXPg0YdM03E,18,28-159-442-5305,9468.34,AUTOMOBILE,old requests. slyly bold courts sleep carefully packag
83,Customer#000000083,"kDJ7dqVuBD9lY,hqjW2O UBz5EGoX9oL",22,32-817-154-4122,6463.51,BUILDING,into beans alongside of the furiously silent theodolites haggle carefully slyly final sauternes. requests cajol
84,Customer#000000084,GB3sUmv RRXV DPzeOSbGxMIF9Z4Eq9 rop,11,21-546-818-3802,5174.71,FURNITURE,ounts. blithely express theodolites nag carefully ironic pinto beans. carefully final 
85,Customer#000000085, I9M GnvICGJ29rTlKGzDMstOgH,5,15-745-585-8219,3386.64,FURNITURE,nts. blithely unusual pinto beans along
86,Customer#000000086,78Umklj3P783bfR9pzuaizxwt,0,10-677-951-2353,3306.32,HOUSEHOLD,ly despite the slyly pending platelets. reg
87,Customer#000000087,KKkJj684aFsUH1Unw,23,33-869-884-7053,6327.54,FURNITURE,boost carefully. blithely furious Tiresias nag furiously ironic foxes. instruction
88,Customer#000000088,wyGHpeRMt mxmd8fEelFiXMTHnVg3OL,16,26-516-273-2566,8031.44,AUTOMOBILE,ts. unusual foxes use excuses; final courts doubt special packages. furiously regular platelets abo
89,Customer#000000089,Oy90ruRha47cUlCimutBTvJc6,14,24-394-451-5404,1530.76,FURNITURE,theodolites x-ray carefully even pinto beans. carefully final requests dazzle
90,Customer#000000090,buosjU5uu274vLfU,16,26-603-491-1238,7354.23,BUILDING,lyly bold pinto beans use alon
91,Customer#000000091,9Sce2m BjvDdjQkqMx8UnrUsJkk1IBAvZPTsA,8,18-239-400-3677,4643.14,AUTOMOBILE,yly ironic foxes lose slyly pending asymptotes. slyly final theodolites nag blithely ar
92,Customer#000000092,DPbrb7fGYfkrfAdm0gRJPPdADgqGh5 FVuA9 20,2,12-446-416-8471,1182.91,MACHINERY,sy theodolites. furiously ironic packages a
93,Customer#000000093,nj3p ZakNJ,7,17-359-388-5266,2182.52,MACHINERY,gular decoys after the slyly ruthless deposit
94,Customer#000000094,jL5dieRgyG9OhRN7HgXbLVK2ZRlMQ3NvvL,9,19-953-499-8833,5500.11,HOUSEHOLD,"ges wake deposits. unusual, special forges wake. final packages cajole blithely across the special dolphins. "
95,Customer#000000095,"n6,uwF4wcE76DVh1YsSVoatkTbohR3BT",15,25-923-255-2929,5327.38,MACHINERY,ly regular dinos. ironic requests haggle. slyly final accounts haggle slyly across the carefully exp
96,Customer#000000096,x4fc F3J99,8,18-422-845-1202,6323.92,AUTOMOBILE,lyly brave platelets are furiously above the fluffily sly theodolites. quickly ev
97,Customer#000000097,"dqBtMIPJhk1,ivXIr NZf",17,27-588-919-5638,2164.48,AUTOMOBILE,cial instructions. dependencies boost furiously; quickly final requests w
98,Customer#000000098,UtIJM4d8BxnqvPzwn4,12,22-885-845-6889,-551.37,BUILDING,ges. quickly regular theodolites wake. blithely unusual packages wake fluffil
99,Customer#000000099, sz cJbyoj68RTfz,15,25-515-237-9232,4088.65,HOUSEHOLD,ly slow platelets. regular asymptotes toward the quickly even accounts sleep after the fluffily ironic deposits. b
100,Customer#000000100,MBy6qq3OEGpV4u,20,30-749-445-4907,9889.89,FURNITURE,"dazzle carefully furiously final foxes. express, ironic packages among the qui"
101,Customer#000000101, eEfYAdMjnGyCw8Fr2,2,12-514-298-3699,7470.96,MACHINERY,pending deposits sleep slyly carefully regular re
102,Customer#000000102,"7qyLFi,UrLERspLhHiDGb1F4yBQq",19,29-324-978-8538,8462.17,BUILDING,the ironic accounts. bravely regular instructions above the furiously express as
103,Customer#000000103,"Tgiza4WfhTbezHUo yly4x,D6nN50SR",9,19-216-107-2107,2757.45,BUILDING,"ending accounts along the packages use according to the sly, special ideas. instructions above the carefull"
104,Customer#000000104,SEOogsfT y09vI2z PcSTnI18U6rNTf,10,20-966-284-8065,-588.38,FURNITURE,efully bold deposits. carefully 
105,Customer#000000105,"XI8hMXfr8bIKTGhIRS2sYs,p",10,20-793-553-6417,9091.82,MACHINERY," solve pending, final requests. regular, bold platele"
106,Customer#000000106,vkocmr6H6dl,1,11-751-989-4627,3288.42,MACHINERY,ns are furiously final foxes. slyly even accounts thrash fluffily. slyly regular accounts across the u
107,Customer#000000107,2vKUW710ATl9ACXtETbZz1i9zKpns,15,25-336-529-9919,2514.15,AUTOMOBILE,iously unusual pinto beans sleep quickly under the regular packages. regular theodolites around th
108,Customer#000000108,lbCMmxBgCZ,5,15-908-619-7526,2259.38,BUILDING,nusual accounts unwind carefully final requests. unusual foxes hagg
109,Customer#000000109,dccG2qKoesLea36FGCOCgPVU M N4BZdmYO,16,26-992-422-8153,-716.10,BUILDING,osits; blithely special braids across the slyly unusual foxes haggle carefully regularly regular deposits. furiou
110,Customer#000000110,FtEbLLBJQ24d2yG,10,20-893-536-2069,7462.99,AUTOMOBILE,unts. fluffily express dolphins cajole furiously. fluffily special pinto beans about the furiously express asym
111,Customer#000000111,pp8Pbuc49CAFCHY8pw gSABRykpz,22,32-582-283-7528,6505.26,MACHINERY,lithely ironic requests haggle thinly against the regular platelets. slyly silent deposits use carefully accounts. 
112,Customer#000000112,aOLKkYPcTaNoDLHBh7Z,19,29-233-262-8382,2953.35,FURNITURE,"uickly. express, ironic accounts are carefully. courts sleep along the blithely i"
113,Customer#000000113,NQcFV7p3iwO2VT LFQisBwLbn1e2Lg,12,22-302-930-4756,2912.00,BUILDING,"gainst the even, unusual instructions. slyly even accounts against t"
114,Customer#000000114,vqyrVMVqFlj6,14,24-805-212-7646,1027.46,FURNITURE,"e quickly ironic instructions wake blithely according to the special, bold foxe"
115,Customer#000000115,"05lyZj3mdE77YpKQzp,8K5gh1z,joppPlF,RjO",8,18-971-699-1843,7508.92,HOUSEHOLD,"uffily special pinto beans cajole. ironic, unusua"
116,Customer#000000116,uox5ujKz1X1AtgYAFC7JuXx,16,26-632-309-5792,8403.99,BUILDING,nstructions. blithely final deposits engage blithely about the slyly regular deposits. carefully regular packages
117,Customer#000000117,ydJe0csz9qY80V2skMVdCxJI,24,34-403-631-3505,3950.83,FURNITURE,ies. furiously regular instructions 
118,Customer#000000118,d5DlxktKgRwuXuBLS,18,28-639-943-7051,3582.37,AUTOMOBILE,accounts wake. blithely special accounts boost alongside of the carefully express asymptotes. unusual requests af
119,Customer#000000119,"fZm7cjMOxwkSnye03,D u3L4",7,17-697-919-8406,3930.35,FURNITURE,nal theodolites wake slyly special theodolites. regular a
120,Customer#000000120,tpdDQ00rmiEAtcZ,12,22-291-534-1571,363.75,MACHINERY, pending instructions lose. blithely ironic asymptotes besides the slyly
121,Customer#000000121,zwrDoaY2gxCkdTXFaxNc,17,27-411-990-2959,6428.32,BUILDING,"he unusual, unusual deposits nag quickly instructions. slyly "
122,Customer#000000122,uBVzFBCdNYVFqmd24XQUUv8L3rUJ7l,3,13-702-694-4520,7865.46,HOUSEHOLD,onic ideas across the ironic packages sleep requests. furiously pending pinto b
123,Customer#000000123,3zcDQRm9SeHwgVOCLW58GA,5,15-817-151-1168,5897.83,BUILDING,al theodolites? furiously ironic dependencies cajole ev
124,Customer#000000124,"R7Pt5r4VyoO0w,Rd",18,28-183-750-7809,1842.49,AUTOMOBILE,ing requests haggle. quickly regular dep
125,Customer#000000125,"1v813O59ruviiLESzSi7ufFXGLH7U6p,Tk203",19,29-261-996-3120,-234.12,FURNITURE,lose ideas snooze. packages cajole final foxes. furi
126,Customer#000000126,KQWmjFPuXGLrn2o bUnlN6cEQxyaFjKOLQAA,22,32-755-914-7592,1001.39,HOUSEHOLD,ies are slyly. quickly pending instructions sleep slyly. furiously ironic package
127,Customer#000000127,4tKMWo3Y 3hu3ttNZ1WTgMf5m3efLWqLOH,21,31-101-672-2951,9280.71,MACHINERY,should use slyly among the blithely regular pinto beans. furiously unusual dependenc
128,Customer#000000128,rEg6eGhLYdajOgkFgHf8,4,14-280-874-8044,-986.96,HOUSEHOLD,e carefully pending deposits. accounts haggle enticingly even packages. express dependencies wake slyly. quickl
129,Customer#000000129,"BTET Qee,pCQoNEvFCoKqn9oFN3z3GOnSGL",7,17-415-148-7416,9127.27,HOUSEHOLD,uriously according to the silent excuses. furiously regular deposits sleep carefully. quickly 
130,Customer#000000130,"agbuYdL1t,6DrSvl41TlZmqwEfc9FZHSIj",9,19-190-993-9281,5073.58,HOUSEHOLD,nticing deposits poach slyly carefully close instructions. fluffily regular packages haggle slyl
131,Customer#000000131,"ItdUFrHPZlzjZ, fo03sG4topAKTV",11,21-840-210-3572,8595.53,HOUSEHOLD,ly final Tiresias. slyly permanent theodolites cajole quickly. carefully unus
132,Customer#000000132,beV2QQqz7fCR,4,14-692-150-9717,162.57,HOUSEHOLD,requests. express packages mold blithely! accounts are after the ironic accounts. quietly even theodolites 
133,Customer#000000133,jeox3OBiwNH2cRYHKnkxujKCHP6zSSC,17,27-408-997-8430,2314.67,AUTOMOBILE,ress requests use. carefully regular ideas sleep slyly. final pinto beans across the regular instruction
134,Customer#000000134, 6I1TTaoG7bbiogCqRcptG6BYme,11,21-200-159-5932,4608.90,BUILDING,ly regular dolphins haggle blithely. 
135,Customer#000000135,"D1g0Cp,rLNnBA6eg",19,29-399-293-6241,8732.91,FURNITURE," accounts dazzle pinto beans. express, regular pinto beans x-ray across th"
136,Customer#000000136,bCfzh0xVoZjaPJ0o8Z,7,17-501-210-4726,-842.39,FURNITURE,"ng to the regular, regular theodolites. final theodolites alongside of the carefully"
137,Customer#000000137,PN4RZCRY FrmjKhRLA2tvLZa,16,26-777-409-5654,7838.30,HOUSEHOLD,s courts: blithely ironic excuses might haggle accordin
138,Customer#000000138,"WxtfqN2Tjil1AyxVU2D,TL",5,15-394-860-4589,430.59,MACHINERY,r foxes cajole among the blithely 
139,Customer#000000139,"YmFwpwxNjgg,YTXZ2Muk6l5yr",9,19-140-352-1403,7897.78,MACHINERY,ely pending requests along the slyly final packages sle
140,Customer#000000140,49AmbJgKOm8ii0Idfn1BWHq,4,14-273-885-6505,9963.15,MACHINERY,odolites. blithely pending asymptotes after the furiously pend
141,Customer#000000141,"Wi404ac5DIHOXFTovI6nladkzgpkcfVnO,",1,11-936-295-6204,6706.14,FURNITURE,"nts. furiously final theodolites haggle fluffily regular courts. blithely ironic dolphins haggle furiously even, ir"
142,Customer#000000142,rDhVFvyfHIDoF YHJFRBQSdfulY0,9,19-407-425-2584,2209.81,AUTOMOBILE,lyly carefully final grouches. 
143,Customer#000000143,"VSZ YZxfWVZsAGrTptTiSCRMDbLu,",16,26-314-406-7725,2186.50,MACHINERY,"ithely bold requests. regular, special accounts wa"
144,Customer#000000144,"6u21XNPJKPGyDMyRkHdoTAoOOI26,VsLMbfdDCSt",1,11-717-379-4478,6417.31,MACHINERY,o the slyly pending packages. pending accounts are care
145,Customer#000000145,HaHjEzYGOMPrOtXKLeJRVRx,13,23-562-444-8454,9748.93,HOUSEHOLD,kly alongside of the slyly final packages. carefully e
146,Customer#000000146,lNuGN4kRxTJtiZ01tVyAX1t Ont,3,13-835-723-3223,3328.68,FURNITURE,ptotes sleep carefully across the accounts. pending pinto be
147,Customer#000000147,V5wivQ5NEO esxx1oSWkzp4bQJBkLIUn5,18,28-803-187-4335,8071.40,AUTOMOBILE,telets sleep carefully among the asymptotes. slyly silent packages wake. blithely unusual a
148,Customer#000000148,qJ8bFn4kwiit7RzwGrwo5m,11,21-562-498-6636,2135.60,HOUSEHOLD,e carefully pending ideas detect slyly along the furiously special excuses. instructions use carefully 
149,Customer#000000149,YPt7jpBYEdgbIK6A A,19,29-797-439-6760,8959.65,AUTOMOBILE,ide of the slyly special deposits affix careful
150,Customer#000000150,"tMCk8K7HovlbBFc5lGf6a JWZd,q1SOvdmmeWr",18,28-328-564-7630,3849.48,MACHINERY,ess accounts doubt. final pinto beans above the even accounts haggle at the bravely final package
151,Customer#000000151,gFtmyem37UHG10GlbWUj,19,29-433-197-6339,5187.02,HOUSEHOLD,d packages cajole carefully. platelets haggle against the deposit
152,Customer#000000152,"cn FF9G8OggJWF ,RKE62Dg",8,18-585-850-3926,1215.18,BUILDING,beans boost furiously. asymptotes wake above the iron
153,Customer#000000153,"HnsuZ,ziHH5hEZ",6,16-342-316-2815,5454.26,HOUSEHOLD,"o beans are blithely express, express packages. carefully even packag"
154,Customer#000000154,"ZfqF6sLnjGdAP3HkjnAv,Ehadp",19,29-522-835-6914,4695.12,FURNITURE,"egular ideas along the pending, ironic "
155,Customer#000000155,G0z8BKI8yeLN uBvI,0,10-566-282-8705,5902.85,AUTOMOBILE, the quickly unusual accounts. dependencies boost furiously bold foxes. 
156,Customer#000000156,"Wc8,MO3Y2UqZOLRwhdxcb4K  2OO3GS",9,19-723-913-3943,9302.95,AUTOMOBILE,print blithely regular pinto beans. blithely
157,Customer#000000157,kkmCxtoOl eNrDprNzo9Izeugdw21NQvqTJNVvRw,15,25-207-442-1556,9768.73,BUILDING," boost quickly carefully express packages. unusual, bold packages haggle. ideas are fluffily quickly bo"
158,Customer#000000158,"ZjQ2uJ,hZUZ,QCi,oNltA40 4dt",10,20-383-680-1329,6160.95,AUTOMOBILE,inal asymptotes. ironic accounts detec
159,Customer#000000159,hCyzNocUmjEtz5xSYYzUCH1Bk1wF7,10,20-888-668-2668,2060.06,HOUSEHOLD,"refully blithely final orbits. pending, final packages after the carefully ironic platelets nag carefully "
160,Customer#000000160,WzC5aYNco9q4p8,13,23-428-666-4806,4363.17,MACHINERY, theodolites cajole blithely dogged Tiresias. f
161,Customer#000000161,ZC9Gu1dyHl7J,7,17-805-718-2449,3714.06,MACHINERY,quickly according to the furiously ironic theodolites. finally final instructions wake bl
162,Customer#000000162,imXRS 31yYbxg3LiNTBCeBtalglyyJ,8,18-131-101-2267,6268.99,MACHINERY,"ly daring excuses. final, ironic dependencies against the furiously regular accounts nag about the carefully"
163,Customer#000000163,"dK kOdDEWvKN,L",21,31-863-349-4121,2948.61,FURNITURE,ins cajole fluffily carefully final requests. ca
